20081102 00:00,0.96165,0.96961,0.9583,0.969,0,0.96275,0.9702,0.9599,0.96935,0
20081103 00:00,0.969,0.9996,0.96482,0.99067,0,0.96935,1.00099,0.9652,0.99111,0
20081104 00:00,0.99067,1.0133,0.9886,1.00226,0,0.99111,1.01506,0.98904,1.00272,0
20081105 00:00,1.00226,1.0172,0.9878,0.9949,0,1.00272,1.0176,0.9884,0.99524,0
20081106 00:00,0.9949,1.0084,0.9753,0.9808,0,0.99524,1.0089,0.9761,0.9816,0
20081107 00:00,0.9808,1.00469,0.9777,0.98988,0,0.9816,1.005,0.97865,0.99531,0
20081109 00:00,0.98988,1.00579,0.98988,1.0001,0,0.99531,1.00619,0.9951,1.0009,0
20081110 00:00,1.0001,1.00591,0.98058,0.9851,0,1.0009,1.00668,0.98317,0.9859,0
20081111 00:00,0.9851,0.98966,0.9788,0.98154,0,0.9859,0.99034,0.97921,0.9819,0
20081112 00:00,0.98154,0.98394,0.9526,0.9659,0,0.9819,0.9847,0.9531,0.9667,0
20081113 00:00,0.9659,0.9831,0.9611,0.9781,0,0.9667,0.98557,0.9614,0.9786,0
20081114 00:00,0.9781,0.9792,0.9653,0.9723,0,0.9786,0.9797,0.9658,0.9731,0
20081116 00:00,0.9723,0.97308,0.96555,0.96955,0,0.9731,0.9737,0.9667,0.97,0
20081117 00:00,0.96955,0.9872,0.9657,0.97235,0,0.97,0.988,0.9663,0.9731,0
20081118 00:00,0.97235,0.9846,0.9715,0.9747,0,0.9731,0.98496,0.97199,0.97507,0
20081119 00:00,0.9747,0.9797,0.96165,0.96561,0,0.97507,0.98004,0.96355,0.96594,0
20081120 00:00,0.96561,0.97078,0.93862,0.95503,0,0.96594,0.9712,0.9424,0.95543,0
20081121 00:00,0.95503,0.95887,0.94121,0.95655,0,0.95543,0.95925,0.94519,0.95734,0
20081123 00:00,0.95655,0.96303,0.95192,0.9607,0,0.95734,0.9634,0.9555,0.9613,0
20081124 00:00,0.9607,0.9806,0.9531,0.9657,0,0.9613,0.9811,0.9536,0.966,0
20081125 00:00,0.9657,0.97937,0.9603,0.97591,0,0.966,0.9799,0.9608,0.9767,0
20081126 00:00,0.97591,0.9829,0.9629,0.9765,0,0.9767,0.9835,0.96363,0.9771,0
20081127 00:00,0.9765,0.97862,0.9667,0.9748,0,0.9771,0.9791,0.9672,0.9754,0
20081128 00:00,0.9748,0.9849,0.97175,0.9815,0,0.9754,0.98727,0.9723,0.9821,0
20081130 00:00,0.9815,0.9815,0.97169,0.9723,0,0.9821,0.9821,0.97209,0.97251,0
20081201 00:00,0.9723,0.98125,0.96128,0.9677,0,0.97251,0.98158,0.9638,0.96803,0
20081202 00:00,0.9677,0.97334,0.95914,0.96422,0,0.96803,0.9737,0.95952,0.96449,0
20081203 00:00,0.96422,0.97026,0.9583,0.9632,0,0.96449,0.97065,0.9589,0.9638,0
20081204 00:00,0.9632,0.96745,0.9328,0.9424,0,0.9638,0.96771,0.93321,0.943,0
20081205 00:00,0.9424,0.9631,0.9342,0.9614,0,0.943,0.96354,0.9347,0.9619,0
20081207 00:00,0.9614,0.97041,0.9572,0.9665,0,0.9619,0.9708,0.9578,0.9669,0
20081208 00:00,0.9665,0.97225,0.9532,0.96347,0,0.9669,0.9727,0.9538,0.96387,0
20081209 00:00,0.96347,0.9673,0.95042,0.9551,0,0.96387,0.9679,0.95102,0.9555,0
20081210 00:00,0.9551,0.96152,0.94399,0.95035,0,0.9555,0.96182,0.9458,0.9509,0
20081211 00:00,0.95035,0.97512,0.9415,0.94491,0,0.9509,0.97546,0.94203,0.94548,0
20081212 00:00,0.94491,0.95311,0.9399,0.9403,0,0.94548,0.9533,0.94048,0.9409,0
20081214 00:00,0.9403,0.95138,0.9403,0.947,0,0.9409,0.95173,0.9409,0.9476,0
20081215 00:00,0.947,0.9554,0.9328,0.9363,0,0.9476,0.95597,0.93321,0.93653,0
20081216 00:00,0.9363,0.9402,0.92061,0.9216,0,0.93653,0.94041,0.92095,0.92197,0
20081217 00:00,0.9216,0.92292,0.87436,0.8809,0,0.92197,0.9232,0.8759,0.8815,0
20081218 00:00,0.8809,0.9052,0.8772,0.8915,0,0.8815,0.90577,0.8778,0.8921,0
20081219 00:00,0.8915,0.91403,0.8863,0.902,0,0.8921,0.91437,0.88681,0.9028,0
